2005.00,3.00,27.00,272005,32005,42.00,4.00,29.00
2005.00,6.00,5.00,52005,62005,40.00,7.00,16.00
2005.00,8.00,19.00,192005,82005,45.00,12.00,22.00
2005.00,9.00,11.00,112005,92005,53.00,11.00,27.00
2005.00,10.00,24.00,242005,102005,39.00,10.00,27.00
2005.00,12.00,20.00,202005,122005,38.00,15.00,37.00
2005.00,13.00,16.00,162005,132005,72.00,0.00,62.00
2005.00,22.00,21.00,212005,222005,43.00,12.00,41.00
2005.00,23.00,26.00,262005,232005,48.00,11.00,44.00
2005.00,33.00,4.00,42005,332005,67.00,6.00,58.00
2005.00,29.00,28.00,282005,292005,57.00,2.00,52.00
2005.00,31.00,15.00,152005,312005,46.00,4.00,59.00
2005.00,32.00,25.00,252005,322005,45.00,6.00,29.00
2006.00,1.00,11.00,112006,12006,72.00,0.00,27.00
2006.00,3.00,2.00,22006,32006,44.00,6.00,34.00
2006.00,5.00,34.00,342006,52006,44.00,5.00,15.00
2006.00,8.00,27.00,272006,82006,40.00,9.00,44.00
2006.00,9.00,14.00,142006,92006,51.00,8.00,35.00
2006.00,10.00,33.00,332006,102006,40.00,8.00,62.00
2006.00,12.00,22.00,222006,122006,37.00,10.00,35.00
2006.00,13.00,4.00,42006,132006,72.00,0.00,45.00
2006.00,15.00,23.00,232006,152006,52.00,10.00,36.00
2006.00,16.00,25.00,252006,162006,34.00,6.00,30.00
2006.00,19.00,20.00,202006,192006,64.00,8.00,44.00
2006.00,21.00,7.00,72006,212006,72.00,0.00,47.00
2006.00,24.00,6.00,62006,242006,47.00,12.00,10.00
2006.00,26.00,31.00,312006,262006,45.00,9.00,44.00
2006.00,29.00,28.00,282006,292006,57.00,6.00,34.00
2006.00,30.00,32.00,322006,302006,58.00,8.00,37.00
2007.00,2.00,30.00,302007,22007,72.00,0.00,38.00
2007.00,4.00,22.00,222007,42007,34.00,10.00,66.00
2007.00,6.00,8.00,82007,62007,45.00,9.00,63.00
2007.00,9.00,32.00,322007,92007,69.00,8.00,51.00
2007.00,10.00,31.00,312007,102007,61.00,15.00,54.00
2007.00,11.00,23.00,232007,112007,72.00,0.00,26.00
2007.00,12.00,5.00,52007,122007,33.00,10.00,48.00
2007.00,13.00,21.00,212007,132007,72.00,0.00,33.00
2007.00,14.00,16.00,162007,142007,72.00,0.00,23.00
2007.00,15.00,33.00,332007,152007,56.00,4.00,41.00
2007.00,20.00,25.00,252007,202007,72.00,0.00,51.00
2007.00,24.00,27.00,272007,242007,44.00,12.00,35.00
2007.00,26.00,19.00,192007,262007,42.00,11.00,24.00
2007.00,28.00,6.00,62007,282007,45.00,12.00,53.00
2007.00,29.00,34.00,342007,292007,54.00,9.00,22.00
2008.00,2.00,10.00,102008,22008,72.00,0.00,44.00
2008.00,5.00,11.00,112008,52008,46.00,9.00,53.00
2008.00,7.00,26.00,262008,72008,37.00,14.00,26.00
2008.00,12.00,6.00,62008,122008,32.00,11.00,40.00
2008.00,15.00,31.00,312008,152008,52.00,12.00,38.00
2008.00,19.00,25.00,252008,192008,70.00,12.00,32.00
2008.00,21.00,16.00,162008,212008,39.00,12.00,50.00
2008.00,22.00,24.00,242008,222008,43.00,8.00,65.00
2008.00,27.00,33.00,332008,272008,36.00,17.00,21.00
