Rk,Tm▲,Year,G,W,L,T,W-L%,PF/Game,PA/Game,PC/Game,Att/game,Cmp%,yds/att,td/att,int/att,SK/ATT,Rate,Att/Game,Y/A,TD?att,Y/P,DY/P,TO/Game,Top/Game,1stD/game,Rsh1st/Game,Pass1st/game,Pen1st/game,3d/Game,3D%,4datt/game,4D%,TD/game,XP%,FGA/G,FG%,2PA/G,Pnt/Game,Y/P,OXP%,OXPM%G,OFG%,OFGM/G,OSFTG/G,OPATT/G,Cmp%,OYDS/ATT,OTD/ATT,O INT/ATT,OSK/ATT,Rate,OATT/Game,Y/A,Otd/ATT,OTOT?game,OTO/Game,Opp1stD,Opp3DConv,Opp3D%,Opp4DConv,Opp4D%,Q1/Game,Q2.game,Q3 game,Q4 game,OQ1,OQ2,OQ3,OQ4,OVER UNDER/ GAME,OU Result,,,60,COMPUTATION STATS -->,Q1,Q2,Q3,Q4,OQ1,OQ2,OQ3,OQ4,Over/Under,Opp4DAtt,Opp3DAtt,1stDOpp,Yds,TD,Int,Sk,Att,TD,TO,Tot,FGM,2PA,Pnt,XPA,XPM,Att,Md,Att,Sfty,4DAtt,Pass,Pen,3DAtt,TD,XPA,XPM,FGA,TO,Att,Rsh,ToP,1stD,TD,,Sk,PA,TD,PF,Cmp,PD,PC,Att,Yds,Int,,,,
DET2018,DET,2018,9.00,3.00,6.00,0.00,0.33,22.44,27.11,49.56,37.44,66.20,6.58,0.05,0.03,0.09,91.60,23.33,4.33,0.01,5.43,6.26,1.56,0.02,21.44,5.44,13.89,2.11,12.78,0.38,1.33,0.67,2.44,1.00,2.22,0.85,0.33,3.67,44.61,0.89,2.67,0.63,1.33,0.00,28.00,69.00,8.19,0.08,0.01,0.10,116.80,27.11,4.89,0.03,362.11,0.89,20.56,10.78,0.39,1.11,0.70,5.78,5.78,3.22,7.67,3.67,9.33,9.78,4.33,47.56,6.00,3.00,0.00,40,,52,52,29,69,33,84,88,39,428,10,97,185,2065,19,3,25,244,8,8,3259,17,3,33,27,24,19,12,252,0,12,125,19,115,22,19,19,20,14,210,49,4:40:38,193,5,,29,244,16,202,223,-42,446,337,2218,9,,,,
GNB2018,GNB,2018,9.00,4.00,4.00,1.00,0.50,24.78,24.00,48.78,40.33,60.90,7.13,0.05,0.01,0.07,98.20,22.33,5.17,0.02,6.14,5.49,1.22,0.02,21.78,6.89,13.78,1.11,12.67,0.40,1.22,0.36,2.67,0.91,2.67,0.79,0.22,3.78,43.24,1.00,2.33,0.79,1.67,0.11,32.67,61.90,6.89,0.05,0.02,0.11,92.90,26.89,4.50,0.04,345.89,1.22,19.89,13.67,0.37,0.89,0.50,5.22,5.56,7.11,6.89,7.33,7.56,2.67,6.44,48.56,5.00,4.00,0.00,GNB,,47,50,64,62,66,68,24,58,437,8,123,179,2025,14,6,31,242,9,11,3113,19,2,34,21,21,19,15,294,1,11,124,10,114,24,22,20,24,11,201,62,4:41:02,196,6,,27,216,17,223,221,7,439,363,2589,2,,,,
HOU2018,HOU,2018,9.00,6.00,3.00,0.00,0.67,24.00,20.44,44.44,31.78,64.70,7.83,0.06,0.02,0.10,100.40,30.44,3.95,0.01,5.63,5.16,1.22,0.02,20.22,5.56,12.78,1.89,13.22,0.39,0.78,0.57,2.56,0.95,2.44,0.86,0.11,4.78,44.51,1.00,1.89,0.89,1.89,0.00,36.89,64.80,6.60,0.05,0.02,0.07,92.90,25.78,3.60,0.01,336.33,1.67,18.33,14.89,0.40,1.00,0.67,5.22,6.22,4.89,6.67,5.67,4.44,5.22,4.78,44.72,3.00,6.00,0.00,65,,47,56,44,60,51,40,47,43,402.5,9,134,165,2191,16,7,23,232,3,15,3027,19,1,43,17,17,19,17,332,0,7,115,17,119,23,22,21,22,11,274,50,4:37:31,182,4,,30,184,17,216,185,32,400,286,2240,7,,,,
IND2018,IND,2018,9.00,4.00,5.00,0.00,0.44,28.89,26.56,55.44,41.33,66.10,6.44,0.07,0.02,0.03,98.10,24.89,4.56,0.01,5.64,5.72,1.56,0.02,22.22,5.89,14.22,2.11,14.00,0.52,1.00,0.44,3.44,0.92,1.89,0.82,0.56,3.33,45.97,0.96,2.67,0.84,2.33,0.11,36.11,72.00,7.43,0.05,0.03,0.06,98.40,27.33,3.94,0.03,376.22,1.89,21.89,12.44,0.44,0.78,0.57,6.11,8.22,4.67,9.56,5.33,8.11,6.22,6.22,47.61,6.00,3.00,0.00,45,,55,74,42,86,48,73,56,56,428.5,7,112,197,2416,15,9,21,246,7,17,3386,14,5,30,25,24,25,21,325,1,9,128,19,126,31,26,24,17,14,224,53,4:19:15,200,5,,10,239,26,260,246,21,499,372,2396,9,,,,
JAX2018,JAX,2018,9.00,3.00,6.00,0.00,0.33,17.78,22.11,39.89,39.89,62.10,6.64,0.04,0.03,0.06,84.50,23.67,4.00,0.01,5.45,5.22,2.11,0.02,19.22,4.89,13.44,0.89,14.78,0.45,1.33,0.50,1.89,0.93,1.67,0.93,0.22,4.44,42.30,1.00,1.89,0.87,2.22,0.00,30.56,61.80,6.56,0.04,0.02,0.07,89.90,28.44,4.17,0.03,319.11,0.89,17.89,13.44,0.40,0.56,0.40,3.33,5.00,5.11,4.33,4.78,7.22,4.33,5.78,43.17,4.00,5.00,0.00,60,,30,45,46,39,43,65,39,52,388.5,5,121,161,1805,12,5,19,256,7,8,2872,14,2,40,17,17,23,20,275,0,12,121,8,133,17,15,14,15,19,213,44,4:26:29,173,3,,22,199,13,160,223,-39,359,359,2384,9,,,,
KAN2018,KAN,2018,10.00,9.00,1.00,0.00,0.90,35.30,24.00,59.30,34.50,67.00,8.86,0.09,0.02,0.05,117.40,24.70,4.76,0.03,6.95,5.95,0.80,0.02,24.00,7.00,14.70,2.30,10.60,0.47,0.60,0.83,4.40,0.95,1.70,0.94,0.10,2.80,45.36,0.89,1.70,0.83,1.50,0.10,41.90,63.20,6.90,0.04,0.03,0.07,87.50,24.00,5.07,0.05,410.70,1.50,25.70,12.10,0.36,2.10,0.67,9.20,10.10,9.20,6.80,3.60,8.70,4.80,6.90,52.40,5.00,5.00,0.00,45,,92,101,92,68,36,87,48,69,524,21,121,257,2890,16,11,31,240,12,15,4107,16,1,28,19,17,18,15,419,1,6,147,23,106,44,43,41,17,8,247,70,4:53:24,240,10,,17,240,31,353,231,113,593,345,3055,7,,,,
LAC2018,LAC,2018,9.00,7.00,2.00,0.00,0.78,26.67,20.67,47.33,30.33,67.40,8.74,0.08,0.01,0.05,115.40,25.11,5.06,0.03,6.89,5.61,0.78,0.02,20.22,6.56,12.56,1.11,10.78,0.34,0.56,0.80,3.22,0.75,2.00,0.78,0.56,4.00,42.61,1.00,2.11,0.76,1.44,0.00,35.56,64.10,6.86,0.05,0.03,0.08,89.00,25.11,4.48,0.01,356.56,1.44,20.78,13.22,0.42,1.22,0.64,6.44,9.89,5.22,5.11,6.11,3.78,5.44,5.33,47.50,5.00,4.00,0.00,70,,58,89,47,46,55,34,49,48,427.5,11,119,187,2196,15,10,26,226,3,13,3209,14,5,36,19,19,17,13,320,0,5,113,10,97,29,24,18,18,7,226,59,4:29:41,182,7,,13,186,21,240,184,54,426,273,2385,4,,,,
LAR2018,LAR,2018,10.00,9.00,1.00,0.00,0.90,33.50,23.10,56.60,33.40,68.30,9.08,0.07,0.02,0.06,112.70,29.50,4.91,0.04,6.91,6.03,0.70,0.02,25.00,8.10,15.20,1.70,11.70,0.45,0.90,0.44,3.80,0.97,2.60,0.81,0.70,2.50,42.84,0.96,2.50,1.00,1.40,0.00,32.80,64.90,7.11,0.06,0.02,0.08,98.90,23.50,5.20,0.03,355.20,1.50,20.10,11.50,0.41,1.00,0.60,5.80,11.40,9.40,6.90,6.50,6.70,5.60,4.30,50.60,5.00,5.00,0.00,70,,58,114,94,69,65,67,56,43,506,10,115,201,2331,19,7,26,235,8,15,3552,21,7,25,26,25,14,14,328,0,9,152,17,117,38,31,30,26,7,295,81,5:12:02,250,14,,19,231,22,335,228,104,566,334,3032,6,,,,
MIA2018,MIA,2018,10.00,5.00,5.00,0.00,0.50,19.90,25.60,45.50,30.90,64.70,6.72,0.05,0.03,0.09,92.10,23.90,4.43,0.01,5.45,6.20,1.50,0.02,16.30,4.40,10.20,1.70,12.60,0.33,1.00,0.70,2.20,0.95,1.60,0.94,0.10,5.10,45.20,0.97,2.80,0.84,1.60,0.00,32.30,65.30,7.75,0.06,0.05,0.05,89.60,29.30,4.85,0.03,392.30,1.90,20.80,11.80,0.42,1.00,0.30,2.40,6.30,3.90,7.00,3.40,5.10,8.10,9.00,45.45,5.00,5.00,0.00,MIA,,24,63,39,70,34,51,81,90,454.5,10,118,208,2503,18,15,17,293,9,19,3923,15,1,51,29,28,19,16,323,0,10,102,17,126,22,21,20,16,15,239,44,4:48:01,163,3,,27,256,16,199,200,-57,455,309,2077,9,,,,
MIN2018,MIN,2018,9.00,5.00,3.00,1.00,0.61,24.56,22.67,47.22,40.33,71.30,7.01,0.05,0.01,0.07,102.20,21.89,4.19,0.02,5.77,5.26,1.44,0.02,20.78,3.67,15.33,1.78,13.22,0.39,1.11,0.60,2.89,0.96,2.11,0.68,0.33,4.56,43.44,1.00,2.11,0.91,2.33,0.00,33.22,64.20,7.02,0.04,0.03,0.10,90.20,24.56,3.62,0.02,322.22,1.56,19.22,11.22,0.26,1.11,0.60,5.67,6.22,5.44,7.22,5.33,7.78,4.33,5.22,46.50,4.00,5.00,0.00,MIN,,51,56,49,65,48,70,39,47,418.5,10,101,173,2100,12,8,31,221,5,14,2900,13,3,41,19,19,23,21,299,0,10,138,16,119,26,23,22,19,13,197,33,4:33:28,187,6,,24,204,17,221,259,17,425,363,2544,5,,,,
