Rk,Tm▲,Year,G,W,L,T,W-L%,PF/Game,PA/Game,PC/Game,Att/game,Cmp%,yds/att,td/att,int/att,SK/ATT,Rate,Att/Game,Y/A,TD?att,Y/P,DY/P,TO/Game,Top/Game,1stD/game,Rsh1st/Game,Pass1st/game,Pen1st/game,3d/Game,3D%,4datt/game,4D%,TD/game,XP%,FGA/G,FG%,2PA/G,Pnt/Game,Y/P,OXP%,OXPM%G,OFG%,OFGM/G,OSFTG/G,OPATT/G,Cmp%,OYDS/ATT,OTD/ATT,O INT/ATT,OSK/ATT,Rate,OATT/Game,Y/A,Otd/ATT,OTOT?game,OTO/Game,Opp1stD,Opp3DConv,Opp3D%,Opp4DConv,Opp4D%,Q1/Game,Q2.game,Q3 game,Q4 game,OQ1,OQ2,OQ3,OQ4,OVER UNDER/ GAME,OU Result,,,60,COMPUTATION STATS -->,Q1,Q2,Q3,Q4,OQ1,OQ2,OQ3,OQ4,Over/Under,Opp4DAtt,Opp3DAtt,1stDOpp,Yds,TD,Int,Sk,Att,TD,TO,Tot,FGM,2PA,Pnt,XPA,XPM,Att,Md,Att,Sfty,4DAtt,Pass,Pen,3DAtt,TD,XPA,XPM,FGA,TO,Att,Rsh,ToP,1stD,TD,,Sk,PA,TD,PF,Cmp,PD,PC,Att,Yds,Int,,,,
MIN2015,MIN,2015,9.00,7.00,2.00,0.00,0.78,22.00,17.11,39.11,28.89,63.50,6.28,0.03,0.02,0.10,83.60,30.44,4.84,0.03,5.29,5.40,1.00,0.02,19.33,7.89,9.33,2.11,12.67,0.35,0.78,0.57,2.11,0.89,2.89,0.85,0.11,4.11,41.84,1.00,1.56,0.82,1.56,0.11,35.33,63.20,6.45,0.03,0.02,0.07,87.10,24.67,4.40,0.02,336.56,1.22,19.44,12.78,0.32,1.11,0.50,4.78,6.56,4.56,5.78,2.89,7.44,1.44,5.33,42.94,3.00,4.00,2.00,MIN,,43,59,41,52,26,67,13,48,386.5,10,115,175,2052,11,6,21,222,5,11,3029,22,1,37,14,14,17,14,318,1,7,84,19,114,19,18,16,26,9,274,71,4:41:35,174,9,,25,154,7,198,165,44,352,260,1633,6,,,,
NOR2015,NOR,2015,10.00,4.00,6.00,0.00,0.40,25.50,31.50,57.00,40.90,70.70,7.66,0.05,0.02,0.06,100.80,26.30,3.85,0.03,5.96,6.67,1.70,0.02,24.00,6.60,15.20,2.20,14.20,0.47,1.00,0.70,3.30,0.93,1.50,0.67,0.30,4.40,44.77,0.97,3.40,0.90,1.90,0.00,34.80,66.70,8.42,0.08,0.01,0.06,116.60,26.60,4.93,0.03,424.30,1.30,23.60,11.50,0.35,1.00,0.70,7.60,6.20,4.90,6.20,4.40,8.20,7.90,10.40,48.75,7.00,3.00,0.00,NOR,,76,62,49,62,44,82,79,104,487.5,10,115,236,2931,28,4,22,266,7,13,4243,10,3,44,35,34,21,19,348,0,10,152,22,142,33,29,27,15,17,263,66,5:19:34,240,11,,24,315,20,255,289,-60,570,409,3132,10,,,,
NWE2015,NWE,2015,9.00,9.00,0.00,0.00,1.00,33.67,18.78,52.44,41.11,67.80,7.93,0.06,0.01,0.06,111.10,23.78,3.90,0.03,6.23,5.33,0.78,0.02,24.89,6.33,16.44,2.11,12.78,0.49,0.89,0.63,3.78,1.00,2.33,1.00,0.00,3.22,45.72,0.88,1.56,0.81,1.44,0.00,39.67,61.10,6.51,0.04,0.03,0.08,85.10,22.00,4.01,0.02,346.44,1.44,20.33,13.78,0.42,1.33,0.50,7.22,9.44,7.44,9.56,3.00,5.11,4.22,6.44,50.33,4.00,5.00,0.00,40,,65,85,67,86,27,46,38,58,453,12,124,183,2324,14,9,30,198,4,13,3118,21,0,29,16,14,16,13,357,0,8,148,19,115,34,34,34,21,7,214,57,4:35:03,224,10,,21,169,24,303,251,134,472,370,2933,3,,,,
NYG2015,NYG,2015,10.00,5.00,5.00,0.00,0.50,27.30,25.30,52.60,38.40,64.60,6.82,0.05,0.02,0.04,96.90,25.20,3.77,0.01,5.48,6.12,1.00,0.02,20.90,4.70,13.00,3.20,13.50,0.42,0.60,0.50,2.90,0.96,2.30,1.00,0.20,4.40,44.84,1.00,2.60,0.90,1.90,0.00,41.00,66.30,7.56,0.05,0.03,0.03,90.70,26.60,4.17,0.03,420.90,2.30,23.70,13.80,0.48,0.90,0.56,5.80,8.40,4.60,8.50,5.30,5.50,4.50,10.00,48.25,6.00,4.00,0.00,48,,58,84,46,85,53,55,45,100,482.5,9,138,237,3099,19,14,12,266,7,23,4209,23,2,44,26,26,21,19,410,0,6,130,32,135,29,27,26,23,10,252,47,4:45:02,209,3,,15,253,21,273,248,20,526,384,2619,6,,,,
NYJ2015,NYJ,2015,9.00,5.00,4.00,0.00,0.56,24.11,20.44,44.56,36.11,60.30,6.75,0.05,0.03,0.03,85.80,29.44,3.96,0.02,5.41,5.05,1.78,0.02,19.78,6.00,12.33,1.44,14.44,0.42,0.89,0.38,2.78,1.00,1.89,0.82,0.00,5.00,41.89,0.95,2.11,0.88,1.67,0.00,38.00,57.00,6.06,0.04,0.03,0.06,79.10,22.67,3.89,0.01,318.44,2.11,17.11,14.33,0.36,1.11,0.30,5.22,5.22,6.89,6.78,2.56,9.67,2.89,5.33,43.33,5.00,4.00,0.00,48,,47,47,62,61,23,87,26,48,390,10,129,154,2073,15,10,21,204,2,19,2866,14,0,45,20,19,17,15,342,0,8,111,13,130,25,25,25,17,16,265,54,4:41:52,178,8,,10,184,17,217,196,33,401,325,2195,10,,,,
OAK2015,OAK,2015,9.00,4.00,5.00,0.00,0.44,25.22,26.78,52.00,38.56,65.10,7.05,0.07,0.02,0.03,100.50,23.00,4.45,0.01,5.95,5.89,1.67,0.02,20.22,4.78,13.44,2.00,13.22,0.45,0.56,0.60,3.00,1.00,1.78,0.81,0.11,4.56,44.02,0.90,2.11,0.89,2.67,0.00,42.56,64.20,6.89,0.04,0.02,0.05,89.60,24.67,4.68,0.03,408.56,1.56,23.11,14.44,0.41,1.11,0.70,4.11,11.11,4.44,5.56,4.67,8.56,3.22,10.33,44.44,6.00,2.00,1.00,OAK,,37,100,40,50,42,77,29,93,400,10,130,208,2639,16,9,19,222,6,14,3677,13,1,41,21,19,27,24,383,0,5,121,18,119,27,26,26,16,15,207,43,4:26:39,182,4,,12,241,23,227,226,-14,468,347,2447,7,,,,
PHI2015,PHI,2015,9.00,4.00,5.00,0.00,0.44,23.56,20.44,44.00,39.78,63.70,6.46,0.03,0.03,0.05,81.10,28.89,4.06,0.03,5.29,5.18,1.78,0.02,22.67,7.67,11.67,3.33,13.89,0.32,1.22,0.55,2.67,0.91,2.11,0.79,0.00,5.44,45.18,1.00,2.11,1.00,1.89,0.00,39.00,63.80,6.33,0.04,0.03,0.07,83.50,27.56,4.04,0.01,358.11,2.22,20.44,14.33,0.40,0.44,0.75,2.89,6.33,7.44,6.22,4.78,5.67,3.00,7.00,48.44,2.00,7.00,0.00,PHI,,26,57,67,56,43,51,27,63,436,4,129,184,2221,15,12,23,248,3,20,3223,15,0,49,19,19,17,17,351,0,11,105,30,125,24,23,21,19,16,260,69,4:03:33,204,10,,18,184,11,212,228,28,396,358,2311,11,,,,
PIT2015,PIT,2015,10.00,6.00,4.00,0.00,0.60,23.60,19.10,42.70,32.80,64.60,7.89,0.05,0.03,0.07,93.30,25.80,4.89,0.03,6.32,5.60,1.30,0.02,19.40,6.20,11.20,2.00,12.40,0.35,0.90,0.44,2.50,0.89,2.50,0.80,0.70,4.20,42.33,0.95,1.80,0.81,1.70,0.00,39.30,66.90,7.08,0.04,0.02,0.07,94.00,24.20,3.84,0.01,371.40,1.80,20.90,13.90,0.40,1.50,0.33,3.30,7.90,4.70,7.70,3.70,3.90,2.80,8.40,46.15,2.00,8.00,0.00,PIT,,33,79,47,77,37,39,28,84,461.5,15,139,209,2784,17,9,28,242,3,18,3714,20,7,42,19,18,21,17,393,0,9,112,20,124,25,18,16,25,13,258,62,4:51:46,194,9,,23,191,15,236,212,45,427,328,2588,10,,,,
SDG2015,SDG,2015,9.00,2.00,7.00,0.00,0.22,23.33,27.67,51.00,44.00,69.20,7.47,0.05,0.02,0.05,101.80,23.44,3.64,0.01,5.93,6.34,1.56,0.02,24.00,5.11,16.33,2.56,13.78,0.45,0.56,0.20,2.56,0.85,2.11,0.89,0.33,4.11,44.00,1.00,2.89,0.85,1.89,0.00,31.56,65.10,7.90,0.06,0.02,0.06,102.30,25.33,4.85,0.04,372.11,1.00,19.11,11.56,0.39,0.11,1.00,4.00,6.11,4.22,9.00,5.56,8.67,5.22,8.22,47.33,5.00,4.00,0.00,SDG,,36,55,38,81,50,78,47,74,426,1,104,172,2243,16,5,16,228,9,9,3349,17,3,37,26,26,20,17,284,0,5,147,23,124,23,20,17,19,14,211,46,4:44:56,216,2,,21,249,20,210,274,-39,459,396,2957,7,,,,
SEA2015,SEA,2015,9.00,4.00,5.00,0.00,0.44,22.11,19.89,42.00,29.56,65.80,7.28,0.04,0.03,0.12,91.70,29.22,4.68,0.02,5.64,4.93,1.22,0.02,18.33,7.56,10.22,0.56,13.00,0.36,0.67,0.83,2.22,1.00,2.33,0.95,0.33,5.00,46.58,0.94,1.78,1.00,1.89,0.11,32.11,62.60,6.31,0.03,0.01,0.08,87.70,26.89,3.74,0.03,303.33,1.33,18.11,12.89,0.34,0.33,0.33,3.67,5.56,7.56,5.33,2.22,5.33,3.67,8.00,43.06,4.00,5.00,0.00,SEA,,33,50,68,48,20,48,33,72,387.5,3,116,163,1825,9,4,23,242,7,12,2730,20,3,45,17,16,17,17,289,1,6,92,5,117,20,17,17,21,11,263,68,4:36:04,165,5,,33,179,10,199,175,20,378,266,1937,7,,,,
SFO2015,SFO,2015,9.00,3.00,6.00,0.00,0.33,14.00,24.78,38.78,29.89,59.10,6.07,0.03,0.03,0.10,78.30,27.11,3.86,0.01,4.76,6.00,1.00,0.02,16.00,5.67,8.78,1.56,13.78,0.35,1.00,0.56,1.33,1.00,1.67,0.93,0.22,5.56,44.44,0.95,2.33,0.78,1.56,0.22,35.78,68.90,7.84,0.04,0.02,0.05,99.20,27.89,4.01,0.04,392.44,0.89,21.44,12.67,0.37,0.78,0.71,1.33,5.89,1.78,5.00,4.89,10.22,3.67,6.00,43.56,4.00,5.00,0.00,SFO,,12,53,16,45,44,92,33,54,392,7,114,193,2525,14,7,16,251,9,8,3532,14,2,50,22,21,18,14,322,2,9,79,14,124,12,10,10,15,9,244,51,4:09:39,144,4,,28,223,8,126,159,-97,349,269,1634,7,,,,
STL2015,STL,2015,9.00,4.00,5.00,0.00,0.44,18.44,20.33,38.78,28.78,56.40,6.21,0.03,0.02,0.05,75.70,27.00,4.85,0.03,5.41,5.08,1.33,0.02,14.89,6.11,7.22,1.56,12.78,0.24,0.78,0.29,1.89,1.00,2.44,0.68,0.22,5.89,48.49,1.00,1.56,1.00,2.33,0.00,33.67,70.00,6.61,0.03,0.02,0.10,90.50,28.44,3.85,0.02,331.89,1.78,18.33,13.89,0.32,0.89,0.38,3.89,5.89,4.56,3.78,6.67,4.67,2.67,6.00,42.50,3.00,6.00,0.00,STL,,35,53,41,34,60,42,24,54,382.5,8,125,165,2002,8,6,29,256,6,16,2987,15,2,53,14,14,21,21,303,0,7,65,14,115,17,15,15,22,12,243,55,4:13:29,134,8,,13,183,7,166,146,-17,349,259,1608,6,,,,
TAM2015,TAM,2015,9.00,4.00,5.00,0.00,0.44,21.22,26.33,47.56,31.67,57.50,7.18,0.04,0.03,0.06,80.10,29.11,4.35,0.02,5.66,5.24,1.78,0.02,19.67,5.89,11.33,2.44,12.89,0.39,0.78,0.57,2.11,0.88,3.11,0.71,0.22,3.33,42.23,0.92,2.67,0.83,1.67,0.00,33.44,69.80,7.01,0.06,0.02,0.07,102.60,28.33,3.56,0.02,335.56,1.78,22.22,12.44,0.43,0.67,0.67,3.11,8.56,4.56,4.67,6.00,6.56,6.44,7.33,43.78,5.00,4.00,0.00,TAM,,28,77,41,42,54,59,58,66,394,6,112,200,2111,19,7,20,255,5,16,3020,20,2,30,26,24,18,15,301,0,7,102,22,116,19,17,15,28,16,262,53,4:24:07,177,7,,16,237,10,191,164,-46,428,285,2047,9,,,,
TEN2015,TEN,2015,9.00,2.00,7.00,0.00,0.22,18.78,23.78,42.56,33.11,65.80,6.77,0.05,0.03,0.10,91.00,24.44,3.99,0.02,5.29,5.47,2.11,0.02,19.33,4.67,12.67,2.00,11.89,0.32,0.78,0.57,2.22,1.00,1.22,0.91,0.22,5.33,46.69,1.00,3.11,0.75,0.67,0.00,29.11,64.50,7.47,0.06,0.03,0.10,96.00,28.22,3.98,0.04,329.78,1.22,19.67,12.22,0.38,1.00,0.33,4.89,4.89,5.67,2.67,5.78,6.11,3.44,8.44,43.94,5.00,4.00,0.00,TEN,,44,44,51,24,52,55,31,76,395.5,9,110,177,1957,16,9,27,254,9,11,2968,10,2,48,28,28,8,6,262,0,7,114,18,107,20,17,17,11,19,220,42,4:38:07,174,5,,29,214,14,169,196,-45,383,298,2017,9,,,,
WAS2015,WAS,2015,9.00,4.00,5.00,0.00,0.44,22.78,23.22,46.00,37.11,67.70,6.60,0.04,0.03,0.04,89.60,25.78,4.05,0.01,5.44,6.06,1.56,0.02,20.44,4.67,13.44,2.33,13.89,0.45,0.89,0.50,2.44,1.00,2.11,0.89,0.22,4.00,43.83,0.95,2.33,0.78,1.56,0.11,32.22,64.10,7.29,0.05,0.02,0.05,96.30,27.22,4.97,0.02,370.33,1.56,19.78,12.89,0.41,1.11,0.50,4.44,7.00,3.00,8.33,5.56,4.44,5.44,7.11,45.06,4.00,5.00,0.00,WAS,,40,63,27,75,50,40,49,64,405.5,10,116,178,2115,15,6,15,245,5,14,3333,17,2,36,22,21,18,14,290,1,8,121,21,125,22,20,20,19,14,232,42,4:45:37,184,5,,12,209,14,205,226,-4,414,334,2203,9,,,,
ARI2014,ARI,2014,9.00,8.00,1.00,0.00,0.89,24.78,18.89,43.67,36.22,58.00,6.83,0.05,0.01,0.05,91.70,26.00,3.21,0.02,5.17,5.53,0.78,0.02,20.00,4.22,12.56,3.22,14.89,0.45,0.33,0.67,2.78,1.00,2.00,0.94,0.33,5.67,42.41,1.00,2.22,0.77,1.11,0.00,38.89,62.30,7.05,0.04,0.04,0.04,81.30,23.33,3.37,0.02,352.78,2.11,19.78,13.11,0.37,0.89,0.50,3.67,6.78,4.22,10.11,4.22,6.78,4.11,3.78,45.28,3.00,5.00,1.00,ARI,,33,61,38,91,38,61,37,34,407.5,8,118,178,2468,14,14,14,210,5,19,3175,17,3,51,20,20,13,10,350,0,3,113,29,134,25,22,22,18,7,234,38,4:36:37,180,6,,16,170,15,223,189,53,393,326,2226,3,,,,
ATL2014,ATL,2014,9.00,3.00,6.00,0.00,0.33,24.33,26.44,50.78,37.78,65.00,7.21,0.05,0.03,0.05,92.60,22.89,4.25,0.02,5.90,6.01,1.56,0.02,20.56,5.11,13.78,1.67,12.22,0.43,1.00,0.33,2.89,1.00,1.56,0.86,0.11,4.22,44.05,0.96,2.44,0.82,2.00,0.11,35.00,62.90,8.02,0.04,0.02,0.03,92.20,31.11,3.99,0.05,404.78,1.78,22.22,14.00,0.50,0.44,0.75,6.89,5.56,7.67,3.89,4.44,7.11,4.78,10.11,49.00,3.00,5.00,1.00,55,,62,50,69,35,40,64,43,91,441,4,126,200,2527,12,7,11,280,13,16,3643,12,1,38,23,22,22,18,315,1,9,124,15,110,26,25,25,14,14,206,46,4:15:50,185,8,,18,238,16,219,221,-19,457,340,2452,9,,,,
BAL2014,BAL,2014,10.00,6.00,4.00,0.00,0.60,26.10,18.10,44.20,35.00,62.60,6.88,0.05,0.02,0.04,90.90,28.30,4.39,0.03,5.64,5.30,1.40,0.02,21.80,7.50,12.10,2.20,12.80,0.40,1.40,0.57,2.90,1.00,2.20,0.86,0.30,3.50,46.00,1.00,1.80,0.72,1.30,0.00,36.30,64.20,6.92,0.04,0.02,0.07,92.70,24.50,3.45,0.02,335.70,1.50,19.10,13.40,0.42,0.80,0.38,5.20,7.00,5.30,8.60,3.00,4.40,4.70,6.00,44.95,5.00,5.00,0.00,45,,52,70,53,86,30,44,47,60,449.5,8,134,191,2512,14,6,25,245,6,15,3357,19,3,35,18,18,18,13,363,0,14,121,22,128,29,26,26,22,14,283,75,5:01:18,218,11,,14,181,17,261,219,80,442,350,2407,8,,,,
BUF2014,BUF,2014,9.00,5.00,4.00,0.00,0.56,21.22,20.22,41.44,35.67,62.30,6.47,0.05,0.02,0.07,90.70,25.44,3.94,0.01,5.19,4.88,1.56,0.02,17.33,3.89,12.00,1.44,14.22,0.37,0.67,0.33,2.11,0.94,2.33,0.90,0.22,5.89,44.08,1.00,2.00,0.80,1.78,0.11,36.33,62.70,6.18,0.04,0.04,0.10,79.30,25.67,3.74,0.02,320.67,2.11,20.00,14.33,0.35,0.67,0.50,3.78,6.56,4.44,6.11,3.00,6.67,5.22,5.33,43.39,2.00,7.00,0.00,39,,34,59,40,55,27,60,47,48,390.5,6,129,180,2021,12,12,34,231,5,19,2886,19,2,53,18,18,20,16,327,1,6,108,13,128,19,17,16,21,14,229,35,4:24:46,156,3,,24,182,15,191,200,9,373,321,2077,6,,,,
CAR2014,CAR,2014,10.00,3.00,6.00,1.00,0.35,19.80,28.10,47.90,35.30,60.10,6.39,0.04,0.02,0.09,85.70,26.30,3.63,0.02,4.96,5.89,1.70,0.02,20.60,5.70,12.70,2.20,13.90,0.42,0.80,0.63,2.10,1.00,1.90,0.89,0.20,4.80,47.40,1.00,3.50,0.71,1.20,0.00,35.10,67.50,7.25,0.05,0.03,0.06,97.70,26.80,4.57,0.05,376.80,1.60,21.80,13.00,0.46,0.60,0.50,2.70,3.90,4.10,8.80,5.50,8.90,5.80,7.60,44.85,6.00,4.00,0.00,CAR,,27,39,41,88,55,89,58,76,448.5,6,130,218,2544,19,9,21,268,13,16,3768,17,2,48,35,35,17,12,351,0,8,127,22,139,21,19,19,19,17,263,57,5:09:57,206,6,,31,281,14,198,212,-83,479,353,2254,8,,,,
CHI2014,CHI,2014,9.00,3.00,6.00,0.00,0.33,21.56,30.78,52.33,37.67,65.50,6.68,0.05,0.03,0.07,91.60,23.56,4.13,0.01,5.46,6.12,2.00,0.02,22.22,6.56,12.78,2.89,12.22,0.42,1.56,0.36,2.67,0.95,1.00,0.89,0.33,3.89,43.89,1.00,3.44,0.87,2.22,0.00,33.44,66.40,8.03,0.08,0.03,0.07,107.00,26.67,4.23,0.02,381.22,1.44,20.78,12.00,0.44,1.00,0.56,4.67,5.22,5.33,6.33,7.22,12.67,5.89,4.67,49.39,6.00,3.00,0.00,40,,42,47,48,57,65,114,53,42,444.5,9,108,187,2417,23,8,20,240,5,13,3431,8,3,35,31,31,23,20,301,0,14,115,26,110,24,21,20,9,18,212,59,4:34:49,200,4,,24,277,18,194,222,-83,471,339,2265,10,,,,
CIN2014,CIN,2014,9.00,5.00,3.00,1.00,0.61,21.89,23.44,45.33,32.89,60.80,6.76,0.03,0.03,0.04,79.50,28.11,4.18,0.04,5.45,5.43,1.56,0.02,18.78,7.00,9.78,2.00,13.00,0.35,0.56,0.40,2.33,1.00,2.33,0.71,0.11,4.89,47.52,1.00,2.22,0.77,1.89,0.00,39.22,59.20,6.35,0.03,0.03,0.04,76.50,31.56,4.53,0.04,391.89,1.56,23.44,14.22,0.38,1.33,0.58,3.22,6.33,5.78,6.22,4.11,3.56,7.11,8.33,45.50,4.00,5.00,0.00,45,,29,57,52,56,37,32,64,75,409.5,12,128,211,2240,10,10,13,284,12,14,3527,15,1,44,20,20,22,17,353,0,5,88,18,117,21,20,20,21,14,253,63,4:16:43,169,12,,12,211,9,197,180,-14,408,296,2001,9,,,,
CLE2014,CLE,2014,9.00,6.00,3.00,0.00,0.67,23.22,19.11,42.33,30.67,58.30,7.68,0.04,0.01,0.05,90.10,33.22,3.57,0.04,5.41,5.37,0.89,0.02,19.89,6.33,12.11,1.44,13.33,0.33,1.00,0.33,2.56,1.00,2.11,0.84,0.22,5.67,44.41,1.00,2.11,0.87,1.44,0.00,37.67,56.90,6.17,0.04,0.04,0.06,72.20,28.33,4.74,0.03,366.56,1.89,20.78,14.56,0.36,1.22,0.46,4.33,6.56,6.11,6.22,2.89,8.67,2.67,4.89,44.61,4.00,5.00,0.00,44,,39,59,55,56,26,78,24,44,401.5,11,131,187,2091,12,13,20,255,7,17,3299,16,2,51,19,19,15,13,339,0,9,109,13,120,23,21,21,19,8,299,57,4:19:52,179,12,,14,172,10,209,161,37,381,276,2120,4,,,,
DAL2014,DAL,2014,10.00,7.00,3.00,0.00,0.70,26.10,21.20,47.30,30.90,67.30,7.58,0.06,0.03,0.06,102.70,31.40,4.88,0.03,6.04,5.90,1.80,0.02,21.60,7.30,12.40,1.90,13.00,0.51,0.30,0.33,3.00,1.00,2.00,0.85,0.00,3.60,44.97,1.00,2.50,0.82,0.90,0.10,33.00,65.50,7.27,0.04,0.03,0.05,89.30,24.50,4.45,0.04,348.80,1.70,18.30,12.70,0.43,1.30,0.54,4.70,8.10,5.80,7.20,4.80,4.90,3.70,7.50,47.80,5.00,4.00,1.00,60,,47,81,58,72,48,49,37,75,478,13,127,183,2398,14,10,16,245,9,17,3488,17,0,36,25,25,11,9,330,1,3,124,19,130,30,30,30,20,18,314,73,5:30:46,216,8,,19,212,20,261,208,49,473,309,2343,8,,,,
DEN2014,DEN,2014,9.00,7.00,2.00,0.00,0.78,31.78,22.44,54.22,39.89,67.10,7.97,0.08,0.02,0.03,110.80,25.89,3.74,0.02,6.21,4.66,0.89,0.02,23.22,5.44,15.67,2.11,13.11,0.45,0.67,0.33,4.11,1.00,1.22,0.73,0.11,4.89,45.20,1.00,2.44,0.80,1.33,0.00,43.78,61.20,5.64,0.05,0.03,0.06,82.70,21.00,3.19,0.03,314.11,1.33,20.56,14.78,0.36,1.00,0.56,5.22,11.22,8.89,6.44,2.78,9.22,3.33,6.44,50.28,6.00,2.00,1.00,40,,47,101,80,58,25,83,30,58,452.5,9,133,185,2224,18,10,24,189,5,12,2827,8,1,44,22,22,15,12,394,0,6,141,19,118,37,36,36,11,8,233,49,4:34:23,209,7,,9,202,29,286,241,84,488,359,2861,7,,,,
DET2014,DET,2014,9.00,7.00,2.00,0.00,0.78,20.22,15.78,36.00,37.89,61.60,6.92,0.04,0.02,0.08,87.20,25.22,3.08,0.02,5.14,4.69,1.33,0.02,19.11,4.00,13.11,2.00,14.33,0.41,0.78,0.57,2.33,1.00,2.44,0.50,0.22,4.44,47.43,1.00,1.33,0.93,1.56,0.00,35.22,63.40,6.02,0.03,0.03,0.08,79.70,22.33,3.19,0.02,283.44,1.56,18.67,12.67,0.33,0.78,0.43,5.33,3.56,4.11,7.22,2.67,4.00,3.78,5.33,45.50,2.00,7.00,0.00,40,,48,32,37,65,24,36,34,48,409.5,7,114,168,1909,10,10,26,201,4,14,2551,11,2,40,12,12,15,14,317,0,7,118,18,129,21,19,19,22,12,227,36,4:54:40,172,6,,27,142,13,182,210,40,324,341,2361,8,,,,
GNB2014,GNB,2014,9.00,6.00,3.00,0.00,0.67,30.78,22.78,53.56,32.22,66.20,7.96,0.09,0.01,0.07,115.30,25.11,4.04,0.02,6.00,5.41,0.89,0.02,20.78,5.56,13.11,2.11,11.44,0.43,0.78,0.57,3.78,1.00,1.56,0.93,0.22,3.56,44.94,1.00,2.67,0.92,1.22,0.22,35.00,61.60,6.55,0.04,0.04,0.07,80.20,31.22,4.57,0.03,371.67,2.00,23.22,12.89,0.45,1.78,0.38,10.00,9.78,6.89,4.11,4.89,5.00,4.00,8.89,49.72,8.00,1.00,0.00,GNB,,90,88,62,37,44,45,36,80,447.5,16,116,209,2062,13,12,22,281,9,18,3345,13,2,32,24,24,12,11,315,2,7,118,19,103,34,32,32,14,8,226,50,4:14:33,187,7,,21,205,25,277,192,72,482,290,2308,4,,,,
HOU2014,HOU,2014,9.00,4.00,5.00,0.00,0.44,22.89,21.89,44.78,28.33,62.00,7.40,0.04,0.03,0.08,87.20,31.22,4.39,0.03,5.61,5.71,1.56,0.02,18.56,6.11,10.44,2.00,13.00,0.38,0.78,0.57,2.56,1.00,2.00,0.83,0.00,5.00,46.62,0.95,2.22,0.93,1.44,0.00,38.33,65.50,7.14,0.05,0.03,0.06,93.10,28.00,4.19,0.02,391.11,2.33,21.89,13.44,0.38,0.89,0.63,3.11,7.11,6.44,6.22,3.78,7.78,3.22,6.78,44.28,6.00,3.00,0.00,65,,28,64,58,56,34,70,29,61,398.5,8,121,197,2464,18,10,19,252,5,21,3520,15,0,45,21,20,14,13,345,0,7,94,18,117,23,23,23,18,14,281,55,4:31:26,167,8,,20,197,11,206,158,9,403,255,1887,8,,,,
IND2014,IND,2014,9.00,6.00,3.00,0.00,0.67,32.22,23.44,55.67,44.11,63.50,7.65,0.07,0.02,0.04,100.00,28.33,4.02,0.02,6.10,5.88,1.67,0.02,26.11,5.67,17.89,2.56,13.56,0.43,0.78,0.43,3.67,1.00,2.22,1.00,0.11,4.00,46.61,1.00,2.89,0.82,1.00,0.00,36.89,59.30,7.14,0.05,0.02,0.07,91.50,22.00,4.46,0.04,361.67,1.67,19.89,11.78,0.30,0.89,0.38,7.44,9.56,8.33,6.89,1.44,9.11,5.00,7.89,49.39,6.00,2.00,1.00,45,,67,86,75,62,13,82,45,71,444.5,8,106,179,2372,16,6,24,198,8,15,3255,20,1,36,26,26,11,9,332,0,7,161,23,122,33,32,32,20,15,255,51,5:11:50,235,6,,14,211,26,290,252,79,501,397,3037,9,,,,
JAX2014,JAX,2014,10.00,1.00,9.00,0.00,0.10,15.80,28.20,44.00,35.60,61.20,6.10,0.03,0.04,0.11,74.10,23.10,4.25,0.02,5.03,5.73,2.20,0.02,18.20,5.40,10.90,1.90,13.50,0.36,1.10,0.46,1.80,1.00,1.40,0.71,0.20,5.90,45.32,1.00,3.10,0.95,2.10,0.10,35.60,64.00,7.36,0.05,0.01,0.08,99.00,29.30,4.31,0.03,388.10,1.10,20.50,14.50,0.42,0.70,0.29,3.40,3.70,1.90,6.80,3.60,10.40,5.80,8.40,45.10,5.00,5.00,0.00,60,,34,37,19,68,36,104,58,84,451,7,145,205,2619,18,5,28,293,8,11,3881,10,2,59,31,31,22,21,356,1,11,109,19,135,18,16,16,14,22,231,54,4:39:14,182,7,,39,282,11,158,218,-124,440,356,2170,15,,,,
KAN2014,KAN,2014,9.00,6.00,3.00,0.00,0.67,24.11,16.78,40.89,30.56,66.20,6.40,0.04,0.01,0.09,92.80,29.67,4.58,0.05,5.26,5.28,0.89,0.02,21.11,6.33,12.56,2.22,13.22,0.49,0.56,0.60,2.89,1.00,1.56,0.86,0.11,4.44,44.13,1.00,1.56,0.89,1.89,0.11,33.22,61.20,6.18,0.05,0.01,0.09,91.00,24.44,4.73,0.00,320.89,0.89,19.00,12.56,0.35,1.22,0.36,3.78,7.11,4.44,8.78,3.44,6.33,3.89,3.11,44.39,2.00,7.00,0.00,45,,34,64,40,79,31,57,35,28,399.5,11,113,171,1848,14,4,28,220,0,8,2888,12,1,40,14,14,19,17,299,1,5,113,20,119,26,25,25,14,8,267,57,4:44:56,190,13,,25,151,11,217,182,66,368,275,1760,4,,,,
